Date,Total_Value_At_Close,Cash_At_Open
2025-04-24,95370.18,94116.59
2025-04-25,95687.5,95370.18
2025-04-28,95831.96,95687.5
2025-04-29,96617.95,95831.96
2025-04-30,96751.79,96617.95
2025-05-01,96612.04,96751.79
2025-05-02,98121.86,96612.04
2025-05-05,98205.03,98121.86
2025-05-06,97886.01,98205.03
2025-05-07,98491.97,97886.01
2025-05-08,98820.42,98491.97
2025-05-09,98742.69,98820.42
2025-05-12,101084.5,98742.69
2025-05-13,102115.5,101084.5
2025-05-14,101866.2,102115.5
2025-05-15,102279.6,101866.2
2025-05-16,103093.6,102279.6
2025-05-19,103048.9,103093.6
2025-05-20,102684.1,103048.9
2025-05-21,100612.4,102684.1
2025-05-22,100581.8,100612.4
2025-05-23,99975.26,100581.8
2025-05-27,102160.1,99975.26
2025-05-28,101352.5,102160.1
2025-05-29,101265.5,101352.5
2025-05-30,101340.7,101265.5
2025-06-02,101513.1,101340.7
2025-06-03,102492,101513.1
2025-06-04,102387.7,102492
2025-06-05,102348.2,102387.7
2025-06-06,103121.9,102348.2
2025-06-09,103134.7,103121.9
2025-06-10,103492.2,103134.7
2025-06-11,104148.7,103492.2
2025-06-12,104147.5,104148.7
2025-06-13,103357.9,104147.5
2025-06-16,104914.4,103357.9
2025-06-17,104192.4,104914.4
2025-06-18,104385.2,104192.4
2025-06-20,104441.6,104385.2
2025-06-23,105058.9,104441.6
2025-06-24,105970,105058.9
2025-06-25,105842,105970
2025-06-26,107070.6,105842
2025-06-27,107573.2,107070.6
2025-06-30,108234.6,107573.2
2025-07-01,108381.2,108234.6
2025-07-02,109671,108381.2
2025-07-03,110626,109671
2025-07-07,109761.8,110626
2025-07-08,109818.3,109761.8
2025-07-09,110339.1,109818.3
2025-07-10,111310.1,110339.1
2025-07-11,110770.9,111310.1
2025-07-14,110618.8,110770.9
2025-07-15,109429.9,110618.8
2025-07-16,109726.7,109429.9
2025-07-17,111072.5,109726.7
2025-07-18,111418.1,111072.5
2025-07-21,111121,111418.1
2025-07-22,111822.4,111121
2025-07-23,113408.4,111822.4
2025-07-24,112966.8,113408.4
2025-07-25,114043.6,112966.8
2025-07-28,113648.5,114043.6
2025-07-29,113527.2,113648.5
2025-07-30,113305.9,113527.2
2025-07-31,111947.3,113305.9
2025-08-01,110521.7,111947.3
2025-08-04,112256.7,110521.7
2025-08-05,111856.1,112256.7
2025-08-06,111483,111856.1
2025-08-07,111224.1,111483
2025-08-08,111364.3,111224.1
2025-08-11,111054.5,111364.3
2025-08-12,112470.3,111054.5
2025-08-13,113256.2,112470.3
2025-08-14,112257.3,113256.2
2025-08-15,111667.9,112257.3
2025-08-18,111517.8,111667.9
2025-08-19,111635.9,111517.8
2025-08-20,110945.7,111635.9
2025-08-21,110495.2,110945.7
2025-08-22,112551.4,110495.2
2025-08-25,112068.5,112551.4
2025-08-26,111980.5,112068.5
2025-08-27,112336.2,111980.5
2025-08-28,112597.1,112336.2
2025-08-29,112478.4,112597.1
2025-09-02,112425.2,112478.4
2025-09-03,112678,112425.2
2025-09-04,113504.8,112678
2025-09-05,113945.9,113504.8
2025-09-08,113953.3,113945.9
2025-09-09,113196.7,113953.3
2025-09-10,113241.9,113196.7
2025-09-11,115283.4,113241.9
2025-09-12,114298.5,115283.4
2025-09-15,114882.4,114298.5
2025-09-16,114637.5,114882.4
2025-09-17,114169.3,114637.5
2025-09-18,115227.4,114169.3
2025-09-19,115554,115227.4
2025-09-22,115916.9,115554
2025-09-23,116222.5,115916.9
2025-09-24,115482.2,116222.5
2025-09-25,114874.8,115482.2
2025-09-26,115893.3,114874.8
2025-09-29,116653.2,115893.3
2025-09-30,116988,116653.2
2025-10-01,118540.1,116988
2025-10-02,118903.4,118540.1
2025-10-03,119080.1,118903.4
2025-10-06,119140.1,119080.1
2025-10-07,118117.4,119140.1
2025-10-08,118959.6,118117.4
2025-10-09,118027.1,118959.6
2025-10-10,114502.4,118027.1
2025-10-13,116508.7,114502.4
2025-10-14,116058.3,116508.7
2025-10-15,118057.3,116058.3
2025-10-16,117608.1,118057.3
2025-10-17,117252.8,117608.1
2025-10-20,118520.2,117252.8
2025-10-21,117934.2,118520.2
2025-10-22,116854.6,117934.2
2025-10-23,118421.4,116854.6
2025-10-24,120033.9,118421.4
2025-10-27,121051.5,120033.9
2025-10-28,120221.4,121051.5
2025-10-29,121079.2353,120221.4
2025-10-30,120158.8389,121079.2353
2025-10-31,120225.8276,120158.8389
2025-11-03,121830.381,120225.8276
2025-11-04,119686.0871,121830.381
2025-11-05,121642.208,119686.0871
2025-11-06,120643.2658,121642.208
2025-11-07,121012.394,120643.265
