Date,Total_Value_At_Close,Cash_At_Open
8/27/2025,112336.2,111980.5
8/28/2025,112597.1,112336.2
8/29/2025,112478.4,112597.1
9/2/2025,112425.2,112478.4
9/3/2025,112678,112425.2
9/4/2025,113504.8,112678
9/5/2025,113945.9,113504.8
9/8/2025,113953.3,113945.9
9/9/2025,113196.7,113953.3
9/10/2025,113241.9,113196.7
9/11/2025,115283.4,113241.9
9/12/2025,114298.5,115283.4
9/15/2025,114882.4,114298.5
9/16/2025,114637.5,114882.4
9/17/2025,114169.3,114637.5
9/18/2025,115227.4,114169.3
9/19/2025,115554,115227.4
9/22/2025,115916.9,115554
9/23/2025,116222.5,115916.9
9/24/2025,115482.2,116222.5
9/25/2025,114874.8,115482.2
9/26/2025,115893.3,114874.8
9/29/2025,116653.2,115893.3
9/30/2025,116988,116653.2
10/1/2025,118540.1,116988
10/2/2025,118903.4,118540.1
10/3/2025,119080.1,118903.4
10/6/2025,119140.1,119080.1
10/7/2025,118117.4,119140.1
10/8/2025,118959.6,118117.4
10/9/2025,118027.1,118959.6
10/10/2025,114502.4,118027.1
10/13/2025,116508.7,114502.4
10/14/2025,116058.3,116508.7
10/15/2025,118057.3,116058.3
10/16/2025,117608.1,118057.3
10/17/2025,117252.8,117608.1
10/20/2025,118520.2,117252.8
10/21/2025,117934.2,118520.2
10/22/2025,116854.6,117934.2
10/23/2025,118421.4,116854.6
10/24/2025,120033.9,118421.4
10/27/2025,121051.5,120033.9
10/28/2025,120221.4,121051.5
10/29/2025,121079.2353,120221.4
10/30/2025,120158.8389,121079.2353
10/31/2025,120225.8276,120158.8389
11/3/2025,121830.381,120225.8276
11/4/2025,119686.0871,121830.381
11/5/2025,121642.208,119686.0871
11/6/2025,120643.2658,121642.208
11/7/2025,121103.632,120643.265
11/10/2025,122866.559,121103.632
11/11/2025,123163.258,122866.559
11/12/2025,123303.934,123163.258
11/13/2025,121259.196,123303.934
11/14/2025,120609.05,121259.196
11/17/2025,120078.05,120609.05
11/18/2025,119798.252,120078.05
11/19/2025,119347.577,119798.252
11/20/2025,117902.438,119347.577
11/21/2025,119719.2,117902.438
11/24/2025,120795.368,119719.2
11/25/2025,123017.677,120795.368
11/26/2025,123225.698,123017.677
11/28/2025,123538.214,123225.698
12/1/2025,122369.616,123538.214
12/2/2025,122050.959,122369.616
12/03/2025,122656.458,122050.959
12/04/2025,122563.911,122656.458
12/05/2025,123113.614,122563.911
12/08/2025,122354.23,123113.614
12/09/2025,122223.409,122354.23
12/10/2025,124737.117,122223.409
12/11/2025,125555.49,124737.117
12/12/2025,124166.936,125555.49
12/15/2025,124161.115,124166.936
12/16/2025,123066.077,124161.115
12/17/2025,122322.563,123066.077
12/18/2025,122666.933,122322.563
