Date,Total_Value_At_Close,Cash_At_Open
8/22/2025,111302.209,110970.231
8/25/2025,111051.864,111302.209
8/26/2025,111403.576,111051.864
8/27/2025,111680.59,111403.576
8/28/2025,111700.011,111680.59
8/29/2025,111729.086,111700.011
9/2/2025,111149.899,111729.086
9/3/2025,111115.881,111149.899
9/4/2025,111795.977,111115.881
9/5/2025,112400.116,111795.977
9/8/2025,112548.832,112400.116
9/9/2025,111966.439,112548.832
9/10/2025,112144.992,111966.439
9/11/2025,113809.031,112144.992
9/12/2025,113124.904,113809.031
9/15/2025,113935.924,113124.904
9/16/2025,113771.428,113935.924
9/17/2025,113736.804,113771.428
9/18/2025,114857.84,113736.804
9/19/2025,115279.059,114857.84
9/22/2025,116034.009,115279.059
9/23/2025,115849.172,116034.009
9/24/2025,115096.448,115849.172
9/25/2025,114181.111,115096.448
9/26/2025,115426.696,114181.111
9/29/2025,116285.31,115426.696
9/30/2025,116726.466,116285.31
10/1/2025,117962.431,116726.466
10/2/2025,118096.303,117962.431
10/3/2025,118404.111,118096.303
10/6/2025,118367.417,118404.111
10/7/2025,117391.821,118367.417
10/8/2025,118103.112,117391.821
10/9/2025,117018.033,118103.112
10/10/2025,113796.724,117018.033
10/13/2025,116793.041,113796.724
10/14/2025,116460.593,116793.041
10/15/2025,119008.207,116460.593
10/16/2025,118418.112,119008.207
10/17/2025,118018.488,118418.112
10/20/2025,118873.817,118018.488
10/21/2025,118338.526,118873.817
10/22/2025,117967.863,118338.526
10/23/2025,118661.275,117967.863
10/24/2025,119368.074,118661.275
10/27/2025,119436.234,119368.074
10/28/2025,119386.226,119436.234
10/29/2025,119358.127,119386.226
10/30/2025,119180.601,119358.127
10/31/2025,119712.447,119180.601
11/3/2025,120448.271,119712.447
11/4/2025,118595.443,120448.271
11/5/2025,120542.886,118595.443
11/6/2025,119898.798,120542.886
11/7/2025,119619.423,119898.798
11/10/2025,122464.214,119619.423
11/11/2025,122008.432,122464.214
11/12/2025,122240.766,122008.432
11/13/2025,119094.219,122240.766
11/14/2025,118577.754,119094.219
11/17/2025,118047.198,118577.754
11/18/2025,117107.62,118047.198
11/19/2025,117198.172,117107.62
11/20/2025,115330.999,117198.172
11/21/2025,117069.302,115330.999
11/24/2025,117256.342,117069.302
11/25/2025,117715.805,117256.342
11/26/2025,117665.419,117715.805
11/28/2025,117808.007,85984.414
12/01/2025,116768.372,117808.007
12/02/2025,116494.8,116768.372
12/03/2025,116868.429,116494.8
12/04/2025,116881.86,116868.429
12/05/2025,117671.217,116881.86
12/08/2025,116739.71,117671.217
12/09/2025,116215.871,116739.71
